post,label
what did hitler say to the defeated jewish cowboy ? reich for the sky !,1
"shopkeeper runs the numbers . fifteen skinheads chased a pakistani into a shop and proceed to kick seven flavours of shit out of him . eventually , the police arrived and arrested everyone . one of the coppers walked over to the shop assistant and asked if he saw it all happen . when the clerk replied , "" yes , "" the cop asked why he did n't help out . "" i thought fifteen was enough , "" came the reply .",1
the young homeless girl was delighted when i asked if i could take her home . she was n't too excited when i walked off with her cardboard box .,1
"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his car .",1
how to pick up chicks how do you pick up a black chick ? noose . how do you pick up a mexican chick ? border patrol . how do you pick up a muslim chick ? body bag . how do you pick up a jewish chick ? dustpan and brush . how do you pick up white chicks ? flunitrazepam .,1
jewish jokes what 's the difference between a jew and a stiff nipple . <repeat> othing because they both disappear after hot shower,1
what 's a mexicans favourite sport ? cross country,1
what do you get when you cross a black man and an octopus ? i do n't know but it 's damn good at picking cotton .,1
what do you call a mentally handicapped jew ? aushwistic .,1
i got arrested for killing a black man . they charged me for impersonating a police officer .,1
"i knew a guy who died in a terrorist attack . <repeat> his last words were "" allahu akbar """,1
"i guess bradley manning really is a woman i mean , how else could he fuck up killing himself ?",1
i like my women like my wine aged <number> years and stored in the cellar,1
why are aspirins white ? because they work,1
how do you make a jew prematurely ejaculate ? pay for dinner,1
"is the glass half full or half empty ? i really do n't know , because there 's different ways to look at it : - optimism : the glass is half full . - pessimism : the glass is half empty . - feminism : the glass is raping me .",1
what is the difference between a feminist and a suicide vest ? i can turn on a suicide vest .,1
what 's the difference between a jew and a bullet ? a bullet can escape the chamber,1
"what phrase do black men always love to hear ? "" you are not <allcaps> the father ! """,1
how do you starve a black man . <repeat> put his food stamps under his work boots .,1
"you loose your black friend in the dark , where do you lose your muslim friend ? in an explosion",1
what 's the worst thing about being told you have alzheimer 's ? it dosen't happen at once,1
what 's black and white and rolls down a hill ? a maori and a seagull fighting over a fish head .,1
fat chicks . <repeat> make uggs look like socks .,1
why do negros dance to the left ? because they have no rights .,1
what is the difference between a black person and a bench ? at least a bench can support a family,1
"a black woman has seven sons ; jerome , jerome , jerome , jerome , jerome , jerome and jerome . how does she distinguish between them ? by their last names .",1
how do you pickup a jewish girl ? broom and dustpan .,1
what is the usual woman 's response to a black guy 's pickup line ? rape ! <allcaps>,1
my weed is like the qur'an . <repeat> i burn it until i get stoned .,1
what do you call a muslim feminist ? dead .,1
"so the federal government said we are no longer allowed to call people from indiana "" indianians "" . <repeat> now we must refer to them as "" indyots "" .",1
"why do black people take so long to check out at the grocery store ? mixers in one transaction , booze in the other",1
alabama where eharmony and ancestry are the same website .,1
"when i was in t - ball as a kid , i could tell my coach was catholic as soon as i joined the team from the way he molested me the same way my priest did . i mean like to a t.",1
Girls I have dated can never estimate measurements. Just make sure you never date a female carpenter.,1
"I wish GPS' had an avoid ghetto"" setting!""",1
That place was infested with black people.,1
"Sorry , that must be my Black coming out.",1
"Some guy in my school started talking that way randomly, along with some other effeminate mannerism. Funny, when he came out and we all just said we know. [...] I read somewhere that your true accent is the accent you speak when you are drunk or angry as the cognitive load present in putting on a fake accent vanishes or weakens",1
"I just don't understand it. I think you must just be doing it for attention. When this phase is over and you go back to putting effort into your appearance, you can be treated with respect.",1
Don't worry about Mr. ________. He's just extremely Jewish.,1
"She should be the employeer, and she needs to be a Mexican looking for a cleaning job.",1
"Old woman:: ""Schools shouldn't offer free lunches to kids, since that means their parents just take advantage, and don't bother trying to find jobs to support their kids."" Me:: ""So you think we should allow kids to starve?!"" Woman's husband:: ""You see [myname], if you give them handouts, these people don't work. When I got out of high school, if you wanted to eat, you had to find a job. Nobody has any work ethic anymore."" At a party. Made me feel like I was talking to a compassion-less brick wall.",1
"Person cutting my hair:: So are you seeing anyone? Me:: Not since things ended with my last boyfriend. It was complicated, he was from Afghanistan... Person cutting my hair:: And he was a terrorist? I was going to say that a close family member had died in a bombing and he had to go back to Kabul. But I guess terrorist works?",1
You're pretty for a black girl.,1
"She's a girl, of course she has mood swings.",1
"There's African Americans and then there's black people. There's a difference. Like, Oprah is an African American, but some random black guy off the street doesn't deserve the title, you know?",1
You can't play with them - they don't speak English.,1
Surveying gender is easy because there's only male and female.,1
But you are too strong to be raped.,1
"Believe me, my son is NOT gay. He has never once touched a Barbie, he's built like a linebacker, and he's a real man's man.",1
"No, can you get one of the boys to carry that out? It's too heavy for you.",1
"Wait, can I catch your Asperger's?",1
Bisexual people don't exist. Gay people just say that so they can walk down the hall with a girl holding hands.,1
Your mom is Brazilian isn't she? Maybe she could come to the school sometime for gym and teach the class how to dance samba!,1
You're a girl. You're not expected to know where it is.,1
"I'm male, and am asking this question to non-binary identified people. Why do you give so much of a crap? Why can't you just lighten up, let the thread happen, and ignore it?",1
"Person 1:: That's not your real hair, you're fully black! Person 2:: It's fake, stop trying to convince us that black people can have long hair! Two people in my class talking about my mid-back length curly hair, two weeks ago. I'm a 17 year old Eritrean (East African) female in London. It made me feel disappointed, enraged, but mostly, shocked by their ignorance and outright lack of manners.",1
"Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!",1
"I like you, you don't act gay.",1
"Cool story, babe. Now make me a sandwich.",1
While talking to a co-worker over our break... Co-Worker:: Why do you have all those State Park brochures? Me:: I want to get into camping. I never did much of that growing up. Co-Worker:: You should find an outdoorsy guy to date! Then he can teach you all that stuff. I am a queer woman who is not interested in men.,1
You might want to think about losing weight if you want to get married and have children. Men are very visual creatures.,1
"No offense, but that's seriously gay.",1
"I'm not going to screen you for STDs because you aren't really at risk as a lesbian. But then again, I don't really know how you people have sex.",1
I SAID A NORMAL NAME......AMERICAN!!,1
"Lol, Asian gay guys are too girly, I suppose.",1
"Doctor:: How did this happen? Me:: My mother pushed me down some stairs when I told her that I'm a lesbian. Doctor:: Oh, that's understandable then.",1
"Walks into a post office to buy stamps. Me (Hmong American):: Hello, I would like to get the pixar stamps. Clerk:: *Takes out Chinese New Year Stamps, while smiling like she made my day* I think you'll like these. Me:: *Looks at her and the stamps...* No, it's okay. I'll just get the pixar ones. Clerk:: *Pushes the stamps forward* Awkward silence of me thinking... Me:: Okay *Buys and walks away* Clerk:: Xie xie WTF?! with a tickle in my tummy... Did this just really happen to me...?",1
"You only got into [my university] because you're Native American AND Mexican. I had to work harder to get into this same honors program, and that's not fair.",1
You mean your boyfriend coded it up in a week!,1
"Not all gay men are sissies, but all sissies are gay.",1
You're going to be the expert on all things African American.,1
Co-worker's facebook status:: Not sure how the guy sitting next to me in class can smell so bad and still be alive. First comment:: Is he Indian?,1
Find yourself an Asian girl. She'll be more docile.,1
"Yeah, it's like when black people dye their hair blonde and wear neon colors. It just doesn't work!",1
Jihad is one of the Five Pillars of Islam. The whole thing is basically founded on going out and killing people for G-d.,1
"Don't pick that up, you're a girl. Let one of the boys do that.",1
You're actually very pretty. Most dark skinned girls don't have your looks.,1
You haven't seen the Godfather movies?! You are not really a man if you haven't seen them.,1
"Of course I love you, I just prefer the straight part of you to the gay part.",1
Doing a Physics degree is no way to get yourself a husband!,1
"H&R Block employee when my best friend (who's black) and I went to get our taxes done together:: ""Employed?"" Me:: ""Yes."" H&R:: ""Any children?"" Me:: ""No."" H&R, turns to my friend:: ""Okay, and you. Employed?"" Him:: ""Yes."" H&R:: ""Any children?"" Him:: ""No."" H&R:: ""Are you sure?"" Him:: ""Um..."" H&R:: ""Just checking."" Him:: ""Yes, I'm sure.""",1
"There are scholarships available solely for black men, black women, only women, Hispanic men and women...but if there was a scholarship that only a white man could apply for, I bet it would cause an uproar. Just sayin'. Is this fair in today's day and age? What did my generation do to oppress any specific group of people? Isn't it time for equality across the board?",1
"Hahaha, you're so funny! You're not asexual! There's no such thing! Humans are MADE for sex! You just haven't had GOOD sex yet! Someday you'll meet the right guy and you'll want to screw his brains out, and then you'll remember how insane you were to ever say you're asexual!",1
"So how much Indian ARE you? I mean, you don't look it.",1
*gasps* You've NEVER had taiyaki* before? You're not really Japanese!,1
"So you're really not into men? Like, really really not into men? Are you sure?",1
"Classmate:: So, which one of your parents is black and which is white? Me:: My mom is white and my dad is black. Classmate:: (trying to by funny) So, your mom was a rape victim? I was 17 years old.",1
"I just think that the feminist movement glorifies obesity. It should focus on being healthy, because what it's doing now is just as bad as the mainstream media!",1
I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to make some sacrifices.,1
"God made Adam and Eve, not Adele and Eve.",1
Don't become one of those militant gay people.,1
"But there's a difference between black people"" and ""niggers"". You shouldn't deny that until you've been to the South and have seen the difference.""",1
Go back to China.,1
"Female Coworker:: So you're driving cross country? Me:: Yep. FC:: Are you gonna stop at hotels or something? Me:: Nah, like I did before I'll just stop at rest stops when I get too tired and sleep in the car. FC:: Oh, well, do you have any protection? Me:: Uh, sure I guess, I mean I have pepper spray and always carry my pocketknife... FC:: No no, I meant do you have a MAN to protect you. Because obviously women can't defend themselves, and men never get robbed or assaulted...",1
Bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change.,1
"That's why black men, like my boyfriend, date us white women. They like REAL hair, real nails, and none of that attitude. Black girls are way too ghetto and too much work.",1
"Well you know, you are going to have to deal with some uneducatable black kids.",1
"I wish you'd stop calling me a feminist. I'm not a feminist. It's really insulting. I love all that traditional woman stuff, cooking, cleaning, like that.",1
No you can't like him. It's the most disgusting thing to mix a Black and an Asian!,1
I didn't know that such a dark girl could be pretty.,1
"If the Japs are offended, then screw them. They should have stayed away from Pearl Harbor."" The highest rated comment on a very old and very racist Bugs Bunny cartoon shown on YouTube. 7 macro,race 6 years ago",1
"Dad:: So what are you taking next semester? Me:: Intro to philosophy, deductive logic, women and modernism- Dad:: Ha! That's a contradiction right there! Me:: Why? Dad:: Modern women aren't logical!",1
"Wow, look at all these black kids. Hey, I bet they all have the same dad. All black people are totally related.",1
"You communicate like a girl, I just don't get it. I'm a guy. You need to just say what you mean!",1
"I believe in equal rights for gay people, but I wish they wouldn't kiss in public. It's gross.",1
Why can't all Black Women wear their hair like yours?,1
"After you strip off his makeup and clothes, biologically he's still a man"".""",1
"While sitting with a friend, observing the art at Museum of Modern Art, a museum security employee approaches us. Employee:: So, where are you from? (to my friend) Lemme guess, Japan? Friend:: Uh, no, Korea. Employee:: Ah, and you... (to me) Where are you from? Puerto Rico? Me:: No, I'm from California. Employee:: Right, but you probably are Puerto Rican. Me:: I'm not. Employee:: Are you sure? You *must* have some Puerto Rican blood in you! Me:: I assure you, I don't.",1
I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,1
I want to make bumper stickers that say ISLAM IS NOT A PEACEFUL RELIGION and sell them.,1
We don't keep eating utensils in the car. That's what FAT FAT FAT people do.,1
You're Middle Eastern? Really? It's so good to know there are actually decent Middle Eastern people out there.,1
But you're not REALLY disabled. You look so pretty!,1
You can't be a person of colour; you're too pale!,1
Why are there so many party stores in the ghetto? Like do all the poor people like to celebrate they're poor?,1
"She always wears such revealing clothing and flirts with all of these guys when we're out. It's just gross and dangerous. I'm not saying that a person deserves to be raped, but...",1
Why do you listen to 'Chinese music?' You don't even understand and they all look the same anyways.,1
Are you really going to let a GIRL beat you?,1
WHY are you Atheist?,1
"Black Student:: Yeah man us Black people don't do too well in water. White student:: Yeah, yall took advantage of that free boat ride huh? An exchange my friend who attends Lake Forest College overheard.",1
Men are just better at some things. That's just the way it is. Like men are better at driving cars or flying airplanes. But you sure look pretty.,1
I play as a black character sometimes and it never bothers me.,1
"My daughter said, 'Mom, I hate Mexicans!' I told her you can't judge all Mexicans because of one but, you can say they are all short.",1
"I'm all for women's rights and freedom and whatever, as long as they still put out.",1
"Teacher :: Black men are naturally more aggressive and strong than white men. Me:: No, it has to depend on the man, surely. Teacher :: Not really, no white man could... Me:: Your husband is 6ft tall well built and my dad is 5'7ft and very lean, your husband could wipe the floor with him. Teacher :: There are odd exceptions but, in general. I was 15, Secondary School, England 2001. Made me feel gobsmacked worried that I would be graded unfairly.",1
Owner of my company opening up sexual harassment training class:: I don't believe in sexual harassment. I think it's just something made up by militant lesbians.,1
Native Amerian Studies boils down to 'kill whitey'.,1
"Why can't you act like a normal person? You don't have Asperger's. There's nothing wrong with you. You're just looking for attention/excuses. If you'd just stop behaving so oddly, you wouldn't need to blame it on a disease.",1
I don't want another woman boss. I already have a woman boss and she has me running around all the time.,1
Are there really that many gay people?!,1
Four-year-old boy:: Why did she get to walk in first? Dad:: Because she's a girl. And girls go first. Four-year-old boy:: Why? That's DUMB!' Dad:: Because girls need protecting from strong boys like you.,1
"One of my good friends from high school is black, but I don't really think of her as black because she told me she's white on the inside.",1
"Me:: I can't believe that someone could commit such a horrible crime. People can scare me sometimes. Guy:: You know, if black people don't want to be called criminals... Me:: I didn't say anything about what the man looked like. Guy:: [Silence]",1
If you can keep your head whilst everyone else around you is losing their's...  Than you're probably in an Arabic country fighting for Isis.,1
"Untold Murder is risible, mulatto perjurer trying to convince the audience he knows something as opposed to reading from a New Scotland Yard script.",1
"I wonder if the jigaboos dancing on the football fields have finally realized when they stopped being a distraction, they took money out of their own pockets.",1
"Women are like wine: I can only afford the really cheap ones that have the big, ugly boxes that leak.",1
The Jews use to laugh They thought it was just a joke They're not laughing now  -Adolf Hitler,1
Notice there haven't been any #MeToo accusations made against Islamic Supremacists?,1
"the organizational and social strategy of 'dune coon' movements like Hezbollah and the Muslim Brotherhood are light years beyond the machinations of the white master race in virtual space, even if we adjust for contextual differences.",1
If we'd known that they'd cause this much trouble we'd have picked the fucking cotton ourselves!,1
Internment Camps are a good start for all illegals and muslims.....Round Ups immediately,1
So I guess women are now being promoted to the level of the Jews:as long as one says something happened we have to believe it because not possible they would lie,1
"Also, I can't imagine anything more counterproductive than getting into fights with shit-tier niggers and other diversity when those aren't the people who have socially engineered the destruction of your homeland.",1
"did you know Mexicans in Southern California actually use ""JAJAJA"" Instead of ""hahah"" pisses me off so much  #DEPORTALLOFTHEM",1
"London police arrest two men in connection with the London Terrorist Bombing  One, 18 yrs old  One, 21 yrs old  Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T  White/European British Native Londoners IQ above room temperature Self-sufficient  Any takers at 10:1?",1
Check out CBSN On Assignment on CBS at 9pm they are gonna tell moslem kids its not right to cut peoples heads off... could be funny,1
To the women marching across the US today  Have as many abortions as you’d like  Boycott sperm  Get sterilized  Boycott the patriarchy  Kill yourselves in protest,1
Today we celebrate a Jewish funded black communist who frequented gay orgies and read speeches written by his Jewish handlers  This is the equivalent of people 50 years from now getting the day off to celebrate deray who is another Jewish funded black faggot,1
It's easy for them to multiply because their African genes are so incredibly pronounced .,1
"I think its funny , as a premed student there has n't been a black person within a hundred miles of any of my classes ever .",1
"If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",1
"Agreed, The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites .",1
"Now now lets not discriminate between muslims and jews , I say get them all back to the middle east and turn the whole sand pit to radioactive glass .",1
I Can tell you right now if a black mob is threatening my life and burning my town I 'm going to start shooting .,1
How dare I suggest boys' suffering needs attention too,1
"I made a Chad tinder profile Females don't care how vulgar or disgusting you are when you're attractive, if I was to say the same things I've said to these people with my real picture they would call the cops on me  So far I've had 60 matches and none of them were disgusted by my messages, which were asking for sex straight up",1
Why do women always show there curves Every time I walk down the street I catch myself stairing at a girls tits or ass why can't we be like Islamic country's where women where berkas,1
"Shower Thought: If feminism is cancer, is that why ladies afflicted with it often lose their hair?",1
Normies live in constant fear because their girlfriends dress up slutty then drink their inhibition away alongside horny men on a weekly basis This is routine and encouraged in the degenerate west.,1
"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology"" I believe this is self-explanatory.",1
"Brace yourself, Christmas is coming soon Get your GF now or they will run out of supply",1
"There should be a modernized version of ""The Boy Who Cried Wolf"" called ""The Girl Who Cried Rape""",1
Every woman claims she was raped or sexually harassed in her past They are advertising their desirability to Chad.,1
"Women don't like being treated equally to men, sees having to pay child support as oppression.",1
REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality is the problem.,1
"Seeing prostitutes is morally wrong, but being one is not Why do women defend prostitutes while at the same time judging men for seeing them?",1
I wonder how many females I raped today I spent a lot of time on the subway as a sub 3 and inevitable looked at some females and might have made phisical contact when the train was full,1
Having a criminal record is more attractive to women than having a PhD A violent alpha male is the ultimate sexual desire for women.,1
Another advantage of being a female: getting by with your looks,1
If men are so privileged and women have it so hard why are so many men choosing to live as females?,1
@NYRKelsMads  Dat damn dog eats betta den most colored folk do.,1
